市町村コード,都道府県名,市町村名,地域,年度,世帯数(世帯),(男女計)人口(人),(男)人口(人),(女)人口(人)
5212,秋田県,大仙市,大曲地域,2012,14497,37177,17418,19759
5212,秋田県,大仙市,神岡地域,2012,1851,5599,2550,3049
5212,秋田県,大仙市,西仙北地域,2012,3104,9287,4361,4926
5212,秋田県,大仙市,中仙地域,2012,3253,10466,4968,5498
5212,秋田県,大仙市,協和地域,2012,2590,7398,3501,3897
5212,秋田県,大仙市,南外地域,2012,1307,3946,1846,2100
5212,秋田県,大仙市,仙北地域,2012,2360,7461,3504,3957
5212,秋田県,大仙市,太田地域,2012,2080,6885,3214,3671
5212,秋田県,大仙市,全域,2013,31121,87239,40887,46352
5212,秋田県,大仙市,大曲地域,2013,14624,37090,17382,19708
5212,秋田県,大仙市,神岡地域,2013,1853,5510,2516,2994
5212,秋田県,大仙市,西仙北地域,2013,3081,9109,4276,4833
5212,秋田県,大仙市,中仙地域,2013,3238,10299,4889,5410
5212,秋田県,大仙市,協和地域,2013,2584,7260,3434,3826
5212,秋田県,大仙市,南外地域,2013,1296,3854,1797,2057
5212,秋田県,大仙市,仙北地域,2013,2365,7347,3445,3902
5212,秋田県,大仙市,太田地域,2013,2080,6770,3148,3622
5212,秋田県,大仙市,全域,2014,31161,86061,40315,45746
5212,秋田県,大仙市,大曲地域,2014,14683,36856,17257,19599
5212,秋田県,大仙市,神岡地域,2014,1845,5454,2504,2950
5212,秋田県,大仙市,西仙北地域,2014,3085,8885,4170,4715
5212,秋田県,大仙市,中仙地域,2014,3223,10063,4767,5296
5212,秋田県,大仙市,協和地域,2014,2574,7089,3337,3752
5212,秋田県,大仙市,南外地域,2014,1292,3787,1764,2023
5212,秋田県,大仙市,仙北地域,2014,2394,7297,3428,3869
5212,秋田県,大仙市,太田地域,2014,2065,6630,3088,3542
5212,秋田県,大仙市,全域,2015,31249,84903,39752,45151
5212,秋田県,大仙市,大曲地域,2015,14768,36579,17098,19481
5212,秋田県,大仙市,神岡地域,2015,1848,5330,2461,2869
5212,秋田県,大仙市,西仙北地域,2015,3071,8695,4071,4624
5212,秋田県,大仙市,中仙地域,2015,3222,9900,4682,5218
5212,秋田県,大仙市,協和地域,2015,2560,6913,3254,3659
5212,秋田県,大仙市,南外地域,2015,1293,3726,1739,1987
