市町村コード,都道府県名,市町村名,地域,年度,申請件数総数（件）,申請件数（5人槽）（件）,申請件数（6～7人槽）（件）,申請件数（8～10人槽）（件）,補助金決定額総額（千円）,補助金決定額（5人槽）（千円）,補助金決定額（6～7人槽）（千円）,補助金決定額（8～10人槽）（千円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2019(令和1）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,協和地域,2020(令和2）,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2005(平成17),18,3,15,0,"11,541","1,686","9,855",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2006(平成18）,22,3,19,0,"14,169","1,686","12,483",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2007(平成19）,16,3,13,0,"7,951","1,269","6,682",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2008(平成20）,9,2,7,0,"4,420",822,"3,598",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2009(平成21）,19,6,13,0,"9,148","2,466","6,682",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2010(平成22）,20,2,18,0,"10,074",822,"9,252",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2011(平成23）,22,5,17,0,"10,793","2,055","8,738",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2012(平成24）,13,1,12,0,"6,579",411,"6,168",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2013(平成25）,20,4,16,0,"9,868","1,644","8,224",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2014(平成26）,15,5,10,0,"8,230","2,350","5,880",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2015(平成27）,9,1,8,0,"5,174",470,"4,704",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2016(平成28）,12,3,9,0,"6,702","1,410","5,292",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2017(平成29）,13,7,6,0,"6,818","3,290","3,528",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2018(平成30）,9,0,9,0,"5,145",0,"5,145",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2019(令和1）,5,4,1,0,"2,158","1,644",514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,南外地域,2020(令和2）,4,0,4,0,"2,056",0,"2,056",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2005(平成17),20,10,9,1,"12,365","5,620","5,913",832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2006(平成18）,11,6,5,0,"6,657","3,372","3,285",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2007(平成19）,7,0,7,0,"3,598",0,"3,598",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
