地域コード,都道府県,市町村,地域,地区,年次,総数(ha),田(ha),畑(ha),樹園地(ha)
052124,秋田県,大仙市,南外地域,南楢岡,1985(昭和60),779,700,77,2
052124,秋田県,大仙市,南外地域,全域,1990(平成2),1143,1024,100,19
052124,秋田県,大仙市,南外地域,外小友,1990(平成2),392,341,34,17
052124,秋田県,大仙市,南外地域,南楢岡,1990(平成2),751,682,67,2
052124,秋田県,大仙市,南外地域,全域,1995(平成7),1115,973,128,14
052124,秋田県,大仙市,南外地域,外小友,1995(平成7),378,330,36,13
052124,秋田県,大仙市,南外地域,南楢岡,1995(平成7),737,643,93,1
052124,秋田県,大仙市,南外地域,全域,2000(平成12),1117,962,145,10
052124,秋田県,大仙市,南外地域,外小友,2000(平成12),388,324,55,9
052124,秋田県,大仙市,南外地域,南楢岡,2000(平成12),729,638,91,1
052124,秋田県,大仙市,南外地域,全域,2005(平成17),1027,930,88,9
052124,秋田県,大仙市,南外地域,外小友,2005(平成17),359,317,34,8
052124,秋田県,大仙市,南外地域,南楢岡,2005(平成17),668,613,54,1
052124,秋田県,大仙市,南外地域,全域,2010(平成22),943,826,108,9
052124,秋田県,大仙市,南外地域,外小友,2010(平成22),348,312,27,9
052124,秋田県,大仙市,南外地域,南楢岡,2010(平成22),595,514,81,0
052124,秋田県,大仙市,南外地域,全域,2015(平成27),845,739,99,7
052124,秋田県,大仙市,南外地域,外小友,2015(平成27),282,242,33,7
052124,秋田県,大仙市,南外地域,南楢岡,2015(平成27),563,497,66,0
052124,秋田県,大仙市,南外地域,全域,2020(令和2),894,813,73,5
052124,秋田県,大仙市,南外地域,外小友,2020(令和2),281,245,31,5
052124,秋田県,大仙市,南外地域,南楢岡,2020(令和2),610,568,42,0
052124,秋田県,大仙市,仙北地域,全域,1975(昭和50),2198,2149,49,1
052124,秋田県,大仙市,仙北地域,高梨,1975(昭和50),1036,1009,27,1
052124,秋田県,大仙市,仙北地域,横堀,1975(昭和50),1163,1140,22,0
052124,秋田県,大仙市,仙北地域,全域,1980(昭和55),2172,2125,47,1
052124,秋田県,大仙市,仙北地域,高梨,1980(昭和55),1022,998,24,0
052124,秋田県,大仙市,仙北地域,横堀,1980(昭和55),1150,1127,23,0
052124,秋田県,大仙市,仙北地域,全域,1985(昭和60),2146,2102,43,0
052124,秋田県,大仙市,仙北地域,高梨,1985(昭和60),1000,979,21,0
052124,秋田県,大仙市,仙北地域,横堀,1985(昭和60),1146,1123,22,0
052124,秋田県,大仙市,仙北地域,全域,1990(平成2),2105,2072,31,2
052124,秋田県,大仙市,仙北地域,高梨,1990(平成2),960,945,14,1
052124,秋田県,大仙市,仙北地域,横堀,1990(平成2),1145,1128,17,0
052124,秋田県,大仙市,仙北地域,全域,1995(平成7),2045,2017,27,1
052124,秋田県,大仙市,仙北地域,高梨,1995(平成7),931,917,13,1
052124,秋田県,大仙市,仙北地域,横堀,1995(平成7),1115,1101,14,0
052124,秋田県,大仙市,仙北地域,全域,2000(平成12),2007,1980,27,0
052124,秋田県,大仙市,仙北地域,高梨,2000(平成12),900,886,13,0
052124,秋田県,大仙市,仙北地域,横堀,2000(平成12),1108,1094,13,0
052124,秋田県,大仙市,仙北地域,全域,2005(平成17),1882,1853,28,0
052124,秋田県,大仙市,仙北地域,高梨,2005(平成17),841,831,10,0
052124,秋田県,大仙市,仙北地域,横堀,2005(平成17),1041,1022,19,0
052124,秋田県,大仙市,仙北地域,全域,2010(平成22),1691,1675,16,0
052124,秋田県,大仙市,仙北地域,高梨,2010(平成22),669,662,7,0
052124,秋田県,大仙市,仙北地域,横堀,2010(平成22),1022,1014,9,0
052124,秋田県,大仙市,仙北地域,全域,2015(平成27),1629,1610,19,0
052124,秋田県,大仙市,仙北地域,高梨,2015(平成27),649,642,7,0
052124,秋田県,大仙市,仙北地域,横堀,2015(平成27),980,969,11,0
052124,秋田県,大仙市,仙北地域,全域,2020(令和2),1920,1903,16,0
052124,秋田県,大仙市,仙北地域,高梨,2020(令和2),886,881,5,0
052124,秋田県,大仙市,仙北地域,横堀,2020(令和2),1033,1022,11,0
052124,秋田県,大仙市,太田地域,全域,1975(昭和50),2616,2524,84,8
052124,秋田県,大仙市,太田地域,長信田,1975(昭和50),1358,1313,44,1
052124,秋田県,大仙市,太田地域,横沢,1975(昭和50),1258,1211,39,7
052124,秋田県,大仙市,太田地域,全域,1980(昭和55),2660,2543,69,48
052124,秋田県,大仙市,太田地域,長信田,1980(昭和55),1372,1305,37,30
052124,秋田県,大仙市,太田地域,横沢,1980(昭和55),1288,1239,31,18
052124,秋田県,大仙市,太田地域,全域,1985(昭和60),2635,2524,63,48
052124,秋田県,大仙市,太田地域,長信田,1985(昭和60),1359,1287,38,34
052124,秋田県,大仙市,太田地域,横沢,1985(昭和60),1276,1238,25,14
052124,秋田県,大仙市,太田地域,全域,1990(平成2),2612,2514,49,49
052124,秋田県,大仙市,太田地域,長信田,1990(平成2),1354,1291,29,33
052124,秋田県,大仙市,太田地域,横沢,1990(平成2),1258,1223,20,15
052124,秋田県,大仙市,太田地域,全域,1995(平成7),2586,2485,61,40
052124,秋田県,大仙市,太田地域,長信田,1995(平成7),1350,1286,39,26
052124,秋田県,大仙市,太田地域,横沢,1995(平成7),1236,1199,23,14
052124,秋田県,大仙市,太田地域,全域,2000(平成12),2628,2563,51,14
052124,秋田県,大仙市,太田地域,長信田,2000(平成12),1376,1339,29,8
052124,秋田県,大仙市,太田地域,横沢,2000(平成12),1251,1223,22,6
052124,秋田県,大仙市,太田地域,全域,2005(平成17),2463,2411,51,2
052124,秋田県,大仙市,太田地域,長信田,2005(平成17),1303,1264,38,1
052124,秋田県,大仙市,太田地域,横沢,2005(平成17),1161,1147,13,1
052124,秋田県,大仙市,太田地域,全域,2010(平成22),2368,2352,16,0
052124,秋田県,大仙市,太田地域,長信田,2010(平成22),1225,1215,9,0
